partition,alpha,margin_floor,workloads,plan_ok,infeasible,no_certifiable_sample,unexpected_failures,total_samples_in_plan_ok,total_v_cert,total_v_amb,aggregate_coverage,min_workload_coverage,median_workload_coverage,candidate_signatures
locked_audit_test,0.75,0.002,50,50,0,0,0,8300,7894,406,0.9510843373493976,0.8555555555555555,0.9651162790697675,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.75,0.005,50,50,0,0,0,8300,7282,1018,0.8773493975903615,0.662962962962963,0.9330816269804503,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.75,0.01,50,50,0,0,0,8300,6164,2136,0.7426506024096385,0.32558139534883723,0.8656768275734272,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.75,0.05,50,48,2,2,0,7760,2485,5275,0.32023195876288657,0.003703703703703704,0.3023255813953488,"{""N13_Q6_S20"":23,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0,50,50,0,0,0,8300,8300,0,1.0,1.0,1.0,"{""N13_Q6_S20"":18,""N13_Q6_S21"":3,""N13_Q6_S24"":4,""N13_Q7_S20"":25}"
locked_audit_test,0.9,1e-05,50,50,0,0,0,8300,8296,4,0.9995180722891567,0.9962962962962963,1.0,"{""N13_Q6_S20"":20,""N13_Q6_S21"":5,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.0001,50,50,0,0,0,8300,8280,20,0.9975903614457832,0.9814814814814815,1.0,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.0005,50,50,0,0,0,8300,8203,97,0.9883132530120482,0.9592592592592593,0.9925925925925926,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.001,50,50,0,0,0,8300,8122,178,0.9785542168674699,0.9222222222222223,0.9883720930232558,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.002,50,50,0,0,0,8300,7894,406,0.9510843373493976,0.8555555555555555,0.9651162790697675,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.005,50,50,0,0,0,8300,7282,1018,0.8773493975903615,0.662962962962963,0.9330816269804503,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.01,50,50,0,0,0,8300,6164,2136,0.7426506024096385,0.32558139534883723,0.8656768275734272,"{""N13_Q6_S20"":25,""N13_Q7_S20"":25}"
locked_audit_test,0.9,0.05,50,48,2,2,0,7760,2485,5275,0.32023195876288657,0.003703703703703704,0.3023255813953488,"{""N13_Q6_S20"":23,""N13_Q7_S20"":25}"
